ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
3,2.5000000000000004e-07,8.333333333333335e-08,2.5000000000000004e-07,8.333333333333335e-08,"('<frozen codecs>', 263, '__init__')"
9321,0.0015507630000000001,1.6637302864499518e-07,0.002983873,3.201236991739084e-07,"('<frozen abc>', 117, '__instancecheck__')"
27,1.7076e-05,6.324444444444445e-07,2.3372000000000003e-05,8.656296296296297e-07,"('<frozen genericpath>', 157, '_splitext')"
3,2.126e-06,7.086666666666667e-07,2.376e-06,7.920000000000001e-07,"('<frozen codecs>', 312, '__init__')"
2194,0.000290087,1.32218322698268e-07,0.00038349200000000003,1.7479124886052874e-07,"('<frozen codecs>', 330, 'reset')"
2,6.660000000000001e-07,3.3300000000000003e-07,3.791e-06,1.8955e-06,"('<frozen genericpath>', 84, 'getsize')"
5,4.1900000000000003e-07,8.380000000000001e-08,4.1900000000000003e-07,8.380000000000001e-08,"('<frozen codecs>', 334, 'getstate')"
3,2.2920000000000002e-06,7.640000000000001e-07,3.0667e-05,1.0222333333333334e-05,"('<frozen genericpath>', 16, 'exists')"
27,1.6876000000000002e-05,6.250370370370371e-07,4.4791000000000005e-05,1.658925925925926e-06,"('<frozen posixpath>', 117, 'splitext')"
6,6e-06,1e-06,0.000105124,1.7520666666666666e-05,"('<frozen codecs>', 322, 'decode')"
2194,9.3405e-05,4.257292616226071e-08,9.3405e-05,4.257292616226071e-08,"('<frozen codecs>', 279, 'reset')"
1156,0.00028926200000000004,2.5022664359861595e-07,0.00084305,7.292820069204152e-07,"('/opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/re/__init__.py', 174, 'search')"
27,5.9210000000000006e-06,2.1929629629629633e-07,9.627000000000001e-06,3.565555555555556e-07,"('<frozen posixpath>', 42, '_get_sep')"
82,1.4877000000000002e-05,1.814268292682927e-07,2.1753e-05,2.6528048780487805e-07,"('<frozen posixpath>', 53, 'normcase')"
537,0.000285806,5.322271880819367e-07,0.0008276000000000001,1.5411545623836128e-06,"('/opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/re/__init__.py', 280, 'finditer')"
2,4.99e-07,2.495e-07,4.99e-07,2.495e-07,"('/opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/enum.py', 1335, 'value')"
27,1.8876e-05,6.991111111111111e-07,3.5333e-05,1.3086296296296297e-06,"('<frozen posixpath>', 166, 'basename')"
249,0.000146331,5.876746987951808e-07,0.00016466200000000002,6.612931726907631e-07,"('/opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/warnings.py', 509, '__exit__')"
249,0.00018488,7.424899598393574e-07,0.00028521000000000004,1.1454216867469882e-06,"('/opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/warnings.py', 188, '_add_filter')"
1,1.2500000000000002e-07,1.2500000000000002e-07,1.2500000000000002e-07,1.2500000000000002e-07,"('/opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/copy.py', 103, '_copy_immutable')"
249,7.704700000000001e-05,3.09425702811245e-07,7.704700000000001e-05,3.09425702811245e-07,"('/opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/warnings.py', 462, '__init__')"
